date,high,isin,last,low
2020-02-29 23:41:01.542459,77.52,IE00B3RBWM25,76.06,75.19
2020-03-01 16:27:02.245278,77.52,IE00B3RBWM25,76.06,75.19
2020-03-02 15:23:48.198103,78.04,IE00B3RBWM25,76.75,75.3
2020-03-02 16:01:59.672809,78.04,IE00B3RBWM25,76.34,75.3
2020-03-02 18:13:21.755728,78.18,IE00B3RBWM25,77.47,75.3
2020-03-02 18:37:40.689018,78.18,IE00B3RBWM25,77.45,75.3
2020-03-02 21:56:14.637990,78.52,IE00B3RBWM25,78.46,75.3
2020-03-03 13:14:43.702514,79.31,IE00B3RBWM25,79.09,78.38
2020-03-03 13:14:44.125788,200.0,US0846707026,196.2,195.0
2020-03-03 20:13:39.471459,79.55,IE00B3RBWM25,77.98,77.42
2020-03-03 20:13:40.047840,200.0,US0846707026,185.92,184.5
2020-03-04 13:29:53.986333,79.02,IE00B3RBWM25,78.97,77.75
2020-03-04 13:29:54.504032,191.98,US0846707026,191.48,188.52
2020-03-05 08:37:08.116098,79.7,IE00B3RBWM25,79.68,79.68
2020-03-05 08:37:08.503671,194.6,US0846707026,193.6,193.58
2020-03-05 10:34:13.684691,79.79,IE00B3RBWM25,78.5,78.5
2020-03-05 10:34:14.161074,194.6,US0846707026,193.0,192.2
2020-03-05 13:55:26.653155,79.79,IE00B3RBWM25,77.92,77.9
2020-03-05 13:55:27.099073,194.6,US0846707026,191.02,190.02
2020-03-05 14:45:29.445721,79.79,IE00B3RBWM25,77.51,77.51
2020-03-05 14:45:29.939245,194.6,US0846707026,189.7,189.7
2020-03-05 16:33:15.608595,79.79,IE00B3RBWM25,78.1,77.49
2020-03-05 16:33:16.111994,194.6,US0846707026,188.7,187.06
2020-03-05 16:35:00.056290,79.79,IE00B3RBWM25,78.1,77.49
2020-03-05 16:35:00.107716,194.6,US0846707026,188.7,187.06
2020-03-05 17:28:45.886734,79.79,IE00B3RBWM25,78.3,77.49
2020-03-05 17:28:46.370174,194.6,US0846707026,188.62,187.06
2020-03-05 21:50:27.801101,79.79,IE00B3RBWM25,77.03,77.02
2020-03-05 21:50:28.257556,194.6,US0846707026,185.72,185.0
2020-03-06 09:39:07.306438,76.99,IE00B3RBWM25,75.67,75.67
2020-03-06 09:39:07.807493,185.16,US0846707026,183.6,183.02
2020-03-06 11:05:44.754888,76.99,IE00B3RBWM25,74.89,74.89
2020-03-06 11:05:45.275624,185.16,US0846707026,180.54,180.3
2020-03-06 12:53:48.066232,76.99,IE00B3RBWM25,74.81,74.42
2020-03-06 12:53:48.563539,185.16,US0846707026,180.48,179.3
2020-03-06 15:08:03.387926,76.99,IE00B3RBWM25,74.25,74.18
2020-03-06 15:08:04.087335,185.16,US0846707026,179.32,177.5
2020-03-06 15:49:52.148321,76.99,IE00B3RBWM25,74.11,73.82
2020-03-06 15:49:52.710364,185.16,US0846707026,179.98,177.5
2020-03-06 16:43:00.014839,76.99,IE00B3RBWM25,75.15,73.82
2020-03-06 16:43:00.518340,185.16,US0846707026,182.36,177.5
2020-03-09 16:01:57.046727,72.5,IE00B3RBWM25,69.68,68.26
2020-03-09 16:01:57.571732,174.1,US0846707026,170.02,165.02
2020-03-09 20:42:42.271227,72.5,IE00B3RBWM25,70.81,68.26
2020-03-09 20:42:42.848872,174.1,US0846707026,171.72,165.02
2020-03-10 14:18:30.247452,72.97,IE00B3RBWM25,71.4,70.54
2020-03-10 14:18:30.736350,180.5,US0846707026,176.14,173.5
2020-03-10 18:39:49.119290,72.97,IE00B3RBWM25,71.0,69.0
2020-03-10 18:39:49.665648,180.5,US0846707026,175.52,171.7
2020-03-11 09:48:55.366786,72.06,IE00B3RBWM25,71.3,70.13
2020-03-11 09:48:56.155206,175.5,US0846707026,175.0,172.12
2020-03-11 18:15:59.679238,72.06,IE00B3RBWM25,69.47,69.44
2020-03-11 18:16:00.210805,176.28,US0846707026,171.88,171.34
2020-03-12 09:46:20.250031,69.23,IE00B3RBWM25,66.09,65.86
2020-03-12 09:46:20.762468,166.48,US0846707026,164.5,164.2
2020-03-12 14:59:44.326539,69.23,IE00B3RBWM25,64.39,63.66
2020-03-12 14:59:44.868301,166.48,US0846707026,163.42,162.0
2020-03-12 17:14:57.743279,69.23,IE00B3RBWM25,63.53,63.32
2020-03-12 17:14:58.316743,166.48,US0846707026,161.32,160.72
2020-03-13 16:25:12.351303,67.41,IE00B3RBWM25,64.75,63.95
2020-03-13 16:25:12.896869,169.38,US0846707026,164.26,158.52
2020-03-13 18:09:25.464115,67.41,IE00B3RBWM25,65.05,63.46
2020-03-13 18:09:25.989234,169.38,US0846707026,164.3,158.52
2020-03-16 10:32:20.253333,63.9,IE00B3RBWM25,61.22,60.45
2020-03-16 10:32:20.720241,167.0,US0846707026,157.5,156.02
2020-03-17 10:12:02.066636,64.09,IE00B3RBWM25,61.61,61.5
2020-03-17 10:12:02.535035,169.36,US0846707026,162.22,162.0
2020-03-18 09:52:01.871077,63.8,IE00B3RBWM25,61.22,60.94
2020-03-18 09:52:02.352945,163.7,US0846707026,161.3,160.02
2020-03-18 13:10:23.439221,63.8,IE00B3RBWM25,60.5,60.0
2020-03-18 13:10:24.026018,163.7,US0846707026,162.68,160.02
2020-03-18 15:29:15.276237,63.8,IE00B3RBWM25,61.87,60.0
2020-03-18 15:29:15.775190,164.9,US0846707026,163.6,160.02
2020-03-18 20:28:19.565035,63.8,IE00B3RBWM25,60.8,60.0
2020-03-18 20:28:20.120261,164.9,US0846707026,157.26,154.58
2020-03-19 12:19:19.580290,63.57,IE00B3RBWM25,61.49,59.86
2020-03-19 12:19:20.285486,159.98,US0846707026,159.0,155.5
